ESA,18,1827
CSREA HCI,2,43
PSC,8,232
Security and Management,8,408
Cognitive Technology,10,396
Category Theory and Computer Science,15,604
CTCS,1,4
Computer and Telecommunications Performance Engineering,3,12
CTRS,18,760
CT-RSA,17,906
CVBIA,14,656
CVDB,8,205
CVPR (1),102,43597
CVPR (2),110,49883
CVPR,94,48273
MDDE,6,171
CVRMed,39,5287
CW,9,542
DAC,32,7262
DAGM-Symposium,18,1744
Digital Image Processing,4,92
Entwurf und Betrieb verteilter Systeme,4,81
Automatic Performance Analysis,2,19
"Automata, Logics, and Infinite Games",8,129
Effiziente Methoden der geometrischen Modellierung und der wissenschaftlichen Visualisierung,1,2
Formal Systems Specification,8,131
CAD Systems Development,5,63
Semantic Interoperability and Integration,11,1785
Spatial Representation,4,63
Formal Methods for Industrial Applications,12,474
Intelligent Robots,3,64
Modelling and Planning for Sensor Based Intelligent Robot Systems,7,139
Proof Theory in Computer Science,6,91
Experimental Software Engineering Issues,4,200
"Annotating, Extracting and Reasoning about Time and Events",6,141
Gene Regulations and Metabolism,3,18
Dagstuhl Seminar on Graph Transformations in Computer Science,14,428
